document_text,topic_id
indirim ali stok dur uzun sure boz ev uygun,2
kuru makine philips iyi saç kuru düz kal saç tiftik yala çeyiz tane altın stok aşırı iyi,1
ürün güzel ısıt gün ulaş tavsiye özen paketle teşekkür güven,2
indirim gir tane stok harika,1
gayet güzel ürün kuru kalite bay stok tane başlık zaman otur düş kalite,2
ürün ev kullan memnun kal fiyat üst performans gerçekten harika aynı çeyiz ayar soğuk ayar yüksek orta iyi paketle gayet iyi teslim tarih sorun teslim teşekkür alacak,2
ürün güzel güç iyi sadece kutu yıldız dış sağlam,4
ürün gayet kalite indirim stok,2
satıcı teşekkür toplu çeyiz sipariş hız ilk ulaş herşey sorun paketle özen teşekkür,2
gayet güzel ürün fön makine fiyat performans ürün,2
anne memnun kal güzel özen paketle teşekkür,2
gayet cook iyi kuru fön ses gayet normal kuzen,2
performans harika saç kuru makina iste tavsiye teslim hediye,2
sorun ulaş kargo ptt hız memnun kal ev buda mutlu teşekkür kırık parça eksik şua belir yaz tavsiye,3
fön makine mükemmel,2
özen paket derece kullan tavsiye teşekkür,2
ürün çeyiz anne fön makine öner,2
kardeş gerçekten iyi fön makine anne adres ver cumartesi gel yarın ev getir sabırsızlan,7
fiyat alın güzel fön makine ilk kullan anne sorun yaşa,2
teyze sipariş ver memnun güç fön makine,1
ürün iyi yanlız paketle iyi teşekkür,2
memnun pişman ürün gayet hız teşekkür,2
memnun kal tekrar sipariş ver mutlaka dene,7
memnun aldi fon makine tavsiye,2
ürün kalite iyi ses aşırı yüksek kutu sağlam saç gür erkenden kurut,2
güç fön makine kalite mükemmel kargo sorun ulaş öner,2
beğendi kullan,2
gayet iyi ürün sağlam kalite tavsiye,2
tek kelime harika kuaför çek fön iyi dakika motor güç yüksek harika saç kuru zor dakika kur,1
ikinci fiyat performans iyi kuru fön makine çevre tavsiye,2
bugün kullan gayet güzel güç hız memnun kal hız ulaş sorun teşekkür,2
çeyiz güzel kuru makine güç saç kabar sağlam gel teşekkür,2
sorun gel teşekkür,2
zaman kullan ürün satıcı kargo hız iyi paketle teşekkür,2
